critical_level,violation_description,violation_date
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",01/03/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",06/15/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",03/15/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/12/2018
C,Food Protection Certificate not held by supervisor of food operations.,12/01/2017
C,Food Protection Certificate not held by supervisor of food operations.,03/28/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/25/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10/19/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",06/14/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/22/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,09/13/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/21/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,06/01/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/05/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",07/26/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/16/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/22/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,02/10/2017
C,Live roaches present in facility's food and/or non-food areas.,02/06/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10/10/2019
C,Food Protection Certificate not held by supervisor of food operations.,01/16/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/14/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/02/2018
C,Food Protection Certificate not held by supervisor of food operations.,04/15/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/12/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,02/15/2018
C,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,05/02/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/11/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",10/11/2019
C,Raw food not properly washed prior to serving.,02/08/2018
C,Food Protection Certificate not held by supervisor of food operations.,05/17/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/01/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/21/2016
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,11/01/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,10/11/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",02/15/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/12/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/30/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/24/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/12/2017
C,Live roaches present in facility's food and/or non-food areas.,04/21/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12/08/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/09/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/01/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",04/09/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11/29/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/21/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/09/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/29/2018
C,Food Protection Certificate not held by supervisor of food operations.,11/21/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10/03/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/06/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/02/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/13/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/12/2018
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",05/10/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",09/15/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/14/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",08/06/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",05/18/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/11/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",02/06/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11/20/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/22/2018
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",10/16/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/16/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/05/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,06/14/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",06/11/2019
C,Food Protection Certificate not held by supervisor of food operations.,01/25/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",09/19/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",01/08/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",01/16/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12/08/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/27/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/25/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/16/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/16/2017
C,Live roaches present in facility's food and/or non-food areas.,05/20/2019
C,Raw food not properly washed prior to serving.,03/19/2018
C,Hot food item not held at or above 140º F.,02/08/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/12/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",01/18/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10/24/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/01/2018
C,Hot food item not held at or above 140º F.,02/07/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,06/04/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",06/06/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",09/25/2019
C,Food Protection Certificate not held by supervisor of food operations.,01/22/2019
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",01/16/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",09/06/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/12/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",08/15/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/09/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/05/2019
C,Food Protection Certificate not held by supervisor of food operations.,03/01/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/14/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/16/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,11/21/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/10/2019
C,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,05/14/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/26/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/17/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/18/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/14/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/09/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",03/29/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/22/2019
C,Live roaches present in facility's food and/or non-food areas.,11/19/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/19/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,09/19/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,08/01/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",07/03/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/07/2017
C,Live roaches present in facility's food and/or non-food areas.,08/08/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",02/16/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/17/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,07/20/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,10/31/2017
C,Food Protection Certificate not held by supervisor of food operations.,10/04/2017
C,Food Protection Certificate not held by supervisor of food operations.,06/14/2019
C,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",12/08/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11/07/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",02/07/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/11/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",09/10/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/17/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,01/10/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/05/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/05/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/08/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/13/2019
C,Food Protection Certificate not held by supervisor of food operations.,05/09/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",03/17/2017
C,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",05/17/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/01/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",03/06/2018
C,Live roaches present in facility's food and/or non-food areas.,12/05/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/09/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10/04/2018
C,Live roaches present in facility's food and/or non-food areas.,08/07/2018
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",05/03/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,01/05/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",12/07/2017
C,Food Protection Certificate not held by supervisor of food operations.,12/19/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/13/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",01/02/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/11/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/04/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/01/2019
C,Food Protection Certificate not held by supervisor of food operations.,06/06/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/19/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/01/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",02/27/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/10/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",03/11/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/10/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/12/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/09/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/01/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",05/18/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/02/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/26/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10/10/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/27/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/20/2018
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",04/30/2018
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",03/29/2019
C,Hot food item not held at or above 140º F.,02/13/2018
C,Wiping cloths soiled or not stored in sanitizing solution.,11/14/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/06/2017
C,Food Protection Certificate not held by supervisor of food operations.,10/17/2017
C,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,10/12/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/09/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/31/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/13/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/31/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10/13/2017
C,Food Protection Certificate not held by supervisor of food operations.,10/31/2017
C,Live roaches present in facility's food and/or non-food areas.,01/17/2019
C,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",01/15/2019
C,Food Protection Certificate not held by supervisor of food operations.,10/24/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10/10/2018
C,Evidence of rats or live rats present in facility's food and/or non-food areas.,11/27/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/17/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",05/31/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",10/16/2017
C,Food Protection Certificate not held by supervisor of food operations.,04/03/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/19/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/13/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/25/2018
C,Food Protection Certificate not held by supervisor of food operations.,11/08/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/02/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/07/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,10/12/2017
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",01/20/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",03/08/2019
C,Live roaches present in facility's food and/or non-food areas.,03/07/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/16/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/11/2019
C,Food Protection Certificate not held by supervisor of food operations.,09/25/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,05/12/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/15/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/24/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",04/16/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,02/05/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",12/13/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/21/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/18/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/29/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/13/2018
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",07/30/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/12/2018
C,Live roaches present in facility's food and/or non-food areas.,10/21/2019
C,Live roaches present in facility's food and/or non-food areas.,03/03/2017
C,Hot food item not held at or above 140º F.,03/16/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,11/13/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",02/08/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/18/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",04/18/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/14/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",09/17/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/06/2019
C,Food Protection Certificate not held by supervisor of food operations.,08/06/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,01/24/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/08/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/07/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",01/16/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,05/03/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/12/2019
C,"Precooked potentially hazardous food from commercial food processing establishment that is supposed to be heated, but is not heated to 140º F within 2 hours.",11/21/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",03/12/2019
C,Food Protection Certificate not held by supervisor of food operations.,09/20/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",05/16/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/28/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/07/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/21/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/23/2017
C,Evidence of rats or live rats present in facility's food and/or non-food areas.,08/25/2017
C,"Canned food product observed swollen, leaking or rusted, and not segregated from other consumable food items.",02/08/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",03/03/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/20/2018
